691,Sei Kepayang,Sei Kepayang
691,Sei Kepayang Barat,Sei Kepayang Barat
691,Sei Kepayang Timur,Sei Kepayang Timur
691,Setia Janji,Setia Janji
691,Silau Laut,Silau Laut
691,Simpang Empat,Simpang Empat
691,Tanjung Balai,Tanjung Balai
691,Teluk Dalam,Teluk Dalam
691,Tinggi Raja,Tinggi Raja
699,Aek Kuo,Aek Kuo
699,Aek Natas,Aek Natas
699,Kualuh Hilir,Kualuh Hilir
699,Kualuh Hulu,Kualuh Hulu
699,Kualuh Leidong,Kualuh Leidong
699,Kualuh Selatan,Kualuh Selatan
699,Marbau,Marbau
699,Na IX-X,Na IX-X
706,Aek Nabara Barumun,Aek Nabara Barumun
706,Barumun,Barumun
706,Barumun Selatan,Barumun Selatan
706,Barumun Tengah,Barumun Tengah
706,Batang Lubu Sutam,Batang Lubu Sutam
706,Huristak,Huristak
706,Huta Raja Tinggi,Huta Raja Tinggi
706,Lubuk Barumun,Lubuk Barumun
706,Sihapas Barumun,Sihapas Barumun
706,Sosa,Sosa
706,Sosopan,Sosopan
706,Ulu Barumun,Ulu Barumun
580,Aere,Aere
580,Dangia,Dangia
580,Ladongi,Ladongi
580,Lalolae,Lalolae
580,Lambandia,Lambandia
580,Loea,Loea
580,Mowewe,Mowewe
580,Poli Polia,Poli Polia
580,Tinondo,Tinondo
580,Tirawuta,Tirawuta
580,Ueesi,Ueesi
580,Uluiwoi,Uluiwoi
613,Aertembaga (Bitung Timur),Aertembaga (Bitung Timur)
613,Girian,Girian
613,Lembeh Selatan (Bitung Selatan),Lembeh Selatan (Bitung Selatan)
613,Lembeh Utara,Lembeh Utara
613,Madidir (Bitung Tengah),Madidir (Bitung Tengah)
613,Maesa,Maesa
613,Matuari (Bitung Barat),Matuari (Bitung Barat)
613,Ranowulu (Bitung Utara),Ranowulu (Bitung Utara)
409,Aesesa,Aesesa
409,Aesesa Selatan,Aesesa Selatan
409,Boawae,Boawae
409,Keo Tengah,Keo Tengah
409,Mauponggo,Mauponggo
409,Nangaroro,Nangaroro
409,Wolowae,Wolowae
705,Afulu,Afulu
705,Alasa,Alasa
705,Alasa Talumuzoi,Alasa Talumuzoi
705,Lahewa Timur,Lahewa Timur
705,Lotu,Lotu
705,Namohalu Esiwa,Namohalu Esiwa
705,Sawo,Sawo
705,Sitolu Ori,Sitolu Ori
705,Tugala Oyo,Tugala Oyo
705,Tuhemberua,Tuhemberua
459,Agadugume,Agadugume
459,Beoga,Beoga
459,Doufu,Doufu
459,Gome,Gome
459,Ilaga,Ilaga
459,Pogoma,Pogoma
459,Sinak,Sinak
459,Wangbe,Wangbe
439,Agats,Agats
439,Akat,Akat
439,Atsy / Atsj,Atsy / Atsj
439,Ayip,Ayip
439,Betcbamu,Betcbamu
439,Der Koumur,Der Koumur
439,Fayit,Fayit
439,Jetsy,Jetsy
439,Joerat,Joerat
439,Kolf Braza,Kolf Braza
439,Kopay,Kopay
439,Pantai Kasuari,Pantai Kasuari
439,Pulau Tiga,Pulau Tiga
439,Safan,Safan
439,Sawa Erma,Sawa Erma
439,Sirets,Sirets
439,Suator,Suator
439,Suru-suru,Suru-suru
439,Unir Sirau,Unir Sirau
454,Agimuga,Agimuga
454,Alama,Alama
454,Amar,Amar
454,Hoya,Hoya
454,Iwaka,Iwaka
454,Jila,Jila
454,Jita,Jita
454,Kuala Kencana,Kuala Kencana
454,Kwamki Narama,Kwamki Narama
454,Mimika Barat,Mimika Barat
454,Mimika Barat Jauh,Mimika Barat Jauh
454,Mimika Barat Tengah,Mimika Barat Tengah
454,Mimika Baru,Mimika Baru
454,Mimika Tengah,Mimika Tengah
454,Mimika Timur,Mimika Timur
454,Mimika Timur Jauh,Mimika Timur Jauh
454,Tembagapura,Tembagapura
454,Timika,Timika
454,Wania,Wania
444,Agisiga,Agisiga
444,Biandoga,Biandoga
444,Hitadipa,Hitadipa
444,Homeyo,Homeyo
444,Sugapa,Sugapa
444,Tomosiga,Tomosiga
444,Ugimba,Ugimba
444,Wandai,Wandai
95,Agrabinta,Agrabinta
95,Bojongpicung,Bojongpicung
95,Campaka,Campaka
95,Campaka Mulya,Campaka Mulya
95,Cianjur,Cianjur
95,Cibeber,Cibeber
95,Cibinong,Cibinong
95,Cidaun,Cidaun
95,Cijati,Cijati
95,Cikadu,Cikadu
95,Cikalongkulon,Cikalongkulon
95,Cilaku,Cilaku
95,Cipanas,Cipanas
95,Ciranjang,Ciranjang
95,Cugenang,Cugenang
95,Gekbrong,Gekbrong
95,Haurwangi,Haurwangi
95,Kadupandak,Kadupandak
95,Karangtengah,Karangtengah
95,Leles,Leles
95,Mande,Mande
95,Naringgul,Naringgul
95,Pacet,Pacet
95,Pagelaran,Pagelaran
95,Pasirkuda,Pasirkuda
95,Sindangbarang,Sindangbarang
95,Sukaluyu,Sukaluyu
95,Sukanagara,Sukanagara
95,Sukaresmi,Sukaresmi
95,Takokak,Takokak
95,Tanggeung,Tanggeung
95,Warungkondang,Warungkondang
476,Aifat,Aifat
476,Aifat Selatan,Aifat Selatan
476,Aifat Timur,Aifat Timur
476,Aifat Timur Jauh,Aifat Timur Jauh
476,Aifat Timur Selatan,Aifat Timur Selatan
476,Aifat Timur Tengah,Aifat Timur Tengah
476,Aifat Utara,Aifat Utara
476,Aitinyo,Aitinyo
476,Aitinyo Barat,Aitinyo Barat
476,Aitinyo Raya,Aitinyo Raya
476,Aitinyo Tengah,Aitinyo Tengah
476,Aitinyo Utara,Aitinyo Utara
476,Ayamaru,Ayamaru
476,Ayamaru Barat,Ayamaru Barat
476,Ayamaru Jaya,Ayamaru Jaya
476,Ayamaru Selatan,Ayamaru Selatan
476,Ayamaru Selatan Jaya,Ayamaru Selatan Jaya
476,Ayamaru Tengah,Ayamaru Tengah
476,Ayamaru Timur,Ayamaru Timur
476,Ayamaru Timur Selatan,Ayamaru Timur Selatan
476,Ayamaru Utara,Ayamaru Utara
476,Ayamaru Utara Timur,Ayamaru Utara Timur
476,Mare,Mare
476,Mare Selatan,Mare Selatan
391,Aikmel,Aikmel
391,Jerowaru,Jerowaru
391,Keruak,Keruak
391,Labuhan Haji,Labuhan Haji
391,Masbagik,Masbagik
391,Montong Gading,Montong Gading
391,Pringgabaya,Pringgabaya
391,Pringgasela,Pringgasela
391,Sakra,Sakra
391,Sakra Barat,Sakra Barat
391,Sakra Timur,Sakra Timur
391,Sambalia (Sambelia),Sambalia (Sambelia)
391,Selong,Selong
391,Sembalun,Sembalun
391,Sikur,Sikur
391,Suela (Suwela),Suela (Suwela)
391,Sukamulia,Sukamulia
391,Suralaga,Suralaga
391,Terara,Terara
391,Wanasaba,Wanasaba
440,Aimando Padaido,Aimando Padaido
440,Andey,Andey
440,Biak Barat,Biak Barat
440,Biak Kota,Biak Kota
440,Biak Timur,Biak Timur
440,Biak Utara,Biak Utara
440,Bondifuar,Bondifuar
440,Bruyadori,Bruyadori
440,Numfor Barat,Numfor Barat
440,Numfor Timur,Numfor Timur
440,Oridek,Oridek
440,Orkeri,Orkeri
440,Padaido,Padaido
440,Poiru,Poiru
440,Samofa,Samofa
440,Swandiwe,Swandiwe
440,Warsa,Warsa
440,Yawosi,Yawosi
440,Yendidori,Yendidori
479,Aimas,Aimas
479,Beraur,Beraur
479,Klabot,Klabot
479,Klamono,Klamono
479,Klaso,Klaso
479,Klawak,Klawak
479,Klayili,Klayili
479,Makbon,Makbon
479,Mariat,Mariat
479,Maudus,Maudus
479,Mayamuk,Mayamuk
479,Moisegen,Moisegen
479,Salawati,Salawati
479,Salawati Selatan,Salawati Selatan
479,Sayosa,Sayosa
479,Seget,Seget
479,Segun,Segun
410,Aimere,Aimere
410,Bajawa,Bajawa
410,Bajawa Utara,Bajawa Utara
410,Golewa,Golewa
410,Golewa Barat,Golewa Barat
410,Golewa Selatan,Golewa Selatan
410,Inerie,Inerie
410,Jerebuu,Jerebuu
410,Riung,Riung
410,Riung Barat,Riung Barat
410,Soa,Soa
410,Wolomeze (Riung Selatan),Wolomeze (Riung Selatan)
208,Air Besar,Air Besar
208,Banyuke Hulu,Banyuke Hulu
208,Jelimpo,Jelimpo
208,Kuala Behe,Kuala Behe
208,Mandor,Mandor
208,Mempawah Hulu,Mempawah Hulu
208,Menjalin,Menjalin
208,Menyuke,Menyuke
208,Meranti,Meranti
208,Ngabang,Ngabang
208,Sebangki,Sebangki
208,Sengah Temila,Sengah Temila
208,Sompak,Sompak
35,Air Besi,Air Besi
35,Air Napal,Air Napal
35,Air Padang,Air Padang
35,Arga Makmur,Arga Makmur
35,Arma Jaya,Arma Jaya
35,Batik Nau,Batik Nau
35,Enggano,Enggano
35,Giri Mulia,Giri Mulia
35,Hulu Palik,Hulu Palik
35,Kerkap,Kerkap
35,Ketahun,Ketahun
35,Lais,Lais
35,Napal Putih,Napal Putih
35,Padang Jaya,Padang Jaya
35,Putri Hijau,Putri Hijau
35,Tanjung Agung Palik,Tanjung Agung Palik
35,Ulok Kupai,Ulok Kupai
39,Air Dikit,Air Dikit
39,Air Majunto,Air Majunto
39,Air Rami,Air Rami
39,Ipuh (Muko-Muko Selatan),Ipuh (Muko-Muko Selatan)
39,Kota Mukomuko (Mukomuko Utara),Kota Mukomuko (Mukomuko Utara)
39,Lubuk Pinang,Lubuk Pinang
39,Malin Deman,Malin Deman
39,Penarik,Penarik
39,Pondok Suguh,Pondok Suguh
39,Selagan Raya,Selagan Raya
39,Sungai Rumbai,Sungai Rumbai
39,Teramang Jaya,Teramang Jaya
39,Teras Terunjam,Teras Terunjam
39,V Koto,V Koto
39,XIV Koto,XIV Koto
20,Air Gegas,Air Gegas
20,Kepulauan Pongok,Kepulauan Pongok
20,Lepar Pongok,Lepar Pongok
20,Payung,Payung
20,Pulau Besar,Pulau Besar
20,Simpang Rimba,Simpang Rimba
20,Toboali,Toboali
20,Tukak Sadai,Tukak Sadai
72,Air Hangat,Air Hangat
72,Air Hangat Barat,Air Hangat Barat
72,Air Hangat Timur,Air Hangat Timur
72,Batang Merangin,Batang Merangin
72,Bukitkerman,Bukitkerman
72,Danau Kerinci,Danau Kerinci
72,Depati Tujuh,Depati Tujuh
72,Gunung Kerinci,Gunung Kerinci
72,Gunung Raya,Gunung Raya
72,Gunung Tujuh,Gunung Tujuh
72,Kayu Aro,Kayu Aro
72,Kayu Aro Barat,Kayu Aro Barat
72,Keliling Danau,Keliling Danau
72,Sitinjau Laut,Sitinjau Laut
72,Siulak,Siulak
72,Siulak Mukai,Siulak Mukai
302,Air Hitam,Air Hitam
302,Balik Bukit,Balik Bukit
302,Bandar Negeri Suoh,Bandar Negeri Suoh
302,Batu Brak,Batu Brak
302,Batu Ketulis,Batu Ketulis
302,Belalau,Belalau
302,Gedung Surian,Gedung Surian
302,Kebun Tebu,Kebun Tebu
302,Lumbok Seminung,Lumbok Seminung
302,Pagar Dewa,Pagar Dewa
302,Sekincau,Sekincau
302,Sukau,Sukau
302,Sumber Jaya,Sumber Jaya
302,Suoh,Suoh
302,Way Tenong,Way Tenong
75,Air Hitam,Air Hitam
75,Batang Asai,Batang Asai
75,Bathin VIII (Batin VIII),Bathin VIII (Batin VIII)
75,Cermin Nan Gadang,Cermin Nan Gadang
75,Limun,Limun
75,Mandiangin,Mandiangin
75,Pauh,Pauh
75,Pelawan,Pelawan
75,Sarolangun,Sarolangun
75,Singkut,Singkut
657,Air Kumbang,Air Kumbang
657,Air Salek,Air Salek
657,Banyuasin I,Banyuasin I
657,Banyuasin II,Banyuasin II
657,Banyuasin III,Banyuasin III
657,Betung,Betung
657,Makarti Jaya,Makarti Jaya
657,Muara Padang,Muara Padang
657,Muara Sugihan,Muara Sugihan
657,Muara Telang,Muara Telang
657,Pulau Rimau,Pulau Rimau
657,Rambutan,Rambutan
657,Rantau Bayur,Rantau Bayur
657,Sembawa,Sembawa
657,Suak Tapeh,Suak Tapeh
657,Sumber Marga Telang,Sumber Marga Telang
657,Talang Kelapa,Talang Kelapa
657,Tanjung Lago,Tanjung Lago
657,Tungkal Ilir,Tungkal Ilir
311,Air Naningan,Air Naningan
311,Bandar Negeri Semuong,Bandar Negeri Semuong
311,Bulok,Bulok
311,Cukuh Balak,Cukuh Balak
311,Gisting,Gisting
311,Gunung Alip,Gunung Alip
311,Kelumbayan,Kelumbayan
311,Kelumbayan Barat,Kelumbayan Barat
311,Kota Agung Barat,Kota Agung Barat
311,Kota Agung Timur,Kota Agung Timur
311,Limau,Limau
311,Pematang Sawa,Pematang Sawa
311,Pugung,Pugung
311,Pulau Panggung,Pulau Panggung
311,Semaka,Semaka
311,Sumberejo,Sumberejo
311,Talang Padang,Talang Padang
311,Ulubelu,Ulubelu
311,Wonosobo,Wonosobo
33,Air Nipis,Air Nipis
33,Bunga Mas,Bunga Mas
33,Kedurang,Kedurang
33,Kedurang Ilir,Kedurang Ilir
33,Kota Manna,Kota Manna
33,Manna,Manna
33,Pasar Manna,Pasar Manna
33,Pino,Pino
33,Pinoraya,Pinoraya
33,Seginim,Seginim
33,Ulu Manna,Ulu Manna
41,Air Periukan,Air Periukan
41,Ilir Talo,Ilir Talo
41,Lubuk Sandi,Lubuk Sandi
41,Seluma,Seluma
41,Seluma Barat,Seluma Barat
