"If enabled, the search field will work as a fulltext search inside the category page","If enabled, the search field will work as a fulltext search inside the category page"
"Search by Attribute Options","Search by Attribute Options"
"If enabled, a popup block will be added with attributes and options that match the search query","If enabled, a popup block will be added with attributes and options that match the search query"
"Horizontal Filters","Horizontal Filters"
"Сustomize the display and functionality of horizontal filter panels.","Сustomize the display and functionality of horizontal filter panels."
"Filter Display for Horizontal Panels","Filter Display for Horizontal Panels"
"Select Attributes for Horizontal Display","Select Attributes for Horizontal Display"
"Set attributes for display in the horizontal filter panel with positions.","Set attributes for display in the horizontal filter panel with positions."
"Hide Horizontal Filters on Small Screens","Hide Horizontal Filters on Small Screens"
"Hide horizontal filters on screens smaller than specified width.","Hide horizontal filters on screens smaller than specified width."
"Clear Filter Block","Clear Filter Block"
"Clear Filter Position","Clear Filter Position"
"Position of the filter clear button.","Position of the filter clear button."
"Group Selected Options by Attribute","Group Selected Options by Attribute"
"Group selected filters under attribute name (e.g., ""Color: Red, Blue"").","Group selected filters under attribute name (e.g., ""Color: Red, Blue"")."
"SEO Settings","SEO Settings"
"Customize SEO of filtered pages to improve visibility and indexing by search engines.","Customize SEO of filtered pages to improve visibility and indexing by search engines."
"SEO Configuration","SEO Configuration"
"Meta Header for Filtered Pages","Meta Header for Filtered Pages"
"Set meta header behavior for filtered pages to improve SEO.","Set meta header behavior for filtered pages to improve SEO."
"Canonical Links for Filtered Pages","Canonical Links for Filtered Pages"
"Set canonical link behavior for filtered pages.","Set canonical link behavior for filtered pages."
"Rel Attribute for Filter Links","Rel Attribute for Filter Links"
"Set rel attribute (e.g., follow/nofollow) for filter links.","Set rel attribute (e.g., follow/nofollow) for filter links."
"Active Filters Nofollow Threshold","Active Filters Nofollow Threshold"
"Set the threshold of applied filters to set rel=nofollow for filter links; leave empty to set rel attribute based only on ""Rel Attribute for Filter Links"" setting.","Set the threshold of applied filters to set rel=nofollow for filter links; leave empty to set rel attribute based only on ""Rel Attribute for Filter Links"" setting."
"Product Attribute Links","Product Attribute Links"
"Set clickable filter links for product attributes on the product page.","Set clickable filter links for product attributes on the product page."
"Dynamic Links for Product Attributes","Dynamic Links for Product Attributes"
"Enable Dynamic Attribute Links on the product page","Enable Dynamic Attribute Links on the product page"
"Creates clickable filter links for product attributes on the product page.","Creates clickable filter links for product attributes on the product page."
Target,Target
Attributes,Attributes
"Choose attributes to be enabled for attribute linking.","Choose attributes to be enabled for attribute linking."
"Integrate with Brands","Integrate with Brands"
"If enabled, the extension will use the brand page link for brands in the layered navigation instead of the default layered navigation URL.","If enabled, the extension will use the brand page link for brands in the layered navigation instead of the default layered navigation URL."
"General Information","General Information"
"Is Active","Is Active"
"Group Code","Group Code"
Swatch,Swatch
"Allowed image types: jpg, jpeg, png","Allowed image types: jpg, jpeg, png"
"Add New Group","Add New Group"
"Are you sure you want to delete the selected grouped options?","Are you sure you want to delete the selected grouped options?"
ID,ID
"Use only letters (a-z, A-Z), numbers (0-9), underscore (_) or hyphen (-). Must start with a letter.","Use only letters (a-z, A-Z), numbers (0-9), underscore (_) or hyphen (-). Must start with a letter."
"Invalid Group Code. Use only letters (a-z, A-Z), numbers (0-9), underscore (_) or hyphen (-). Must start with a letter.","Invalid Group Code. Use only letters (a-z, A-Z), numbers (0-9), underscore (_) or hyphen (-). Must start with a letter."
